                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.4596,                 1.2253,                 1.5826,                0.60552,                0.60857,                0.63831,                0.30708,                 1.7529,                 1.4756,                 1.9514,                0.00736,                0.00736,                0.00736
                     82,                 1.4688,                 1.2415,                 1.5862,                 0.5799,                0.61675,                0.64271,                0.32478,                 1.6705,                 1.4404,                 1.8744,               0.007327,               0.007327,               0.007327
                     83,                 1.4688,                  1.222,                 1.5898,                0.64132,                0.59677,                0.67508,                0.35034,                 1.6258,                 1.3519,                 1.8472,               0.007294,               0.007294,               0.007294
                     84,                 1.4594,                  1.237,                 1.5763,                0.64206,                0.58815,                0.64809,                0.33051,                 1.6712,                 1.3902,                 1.8656,               0.007261,               0.007261,               0.007261
                     85,                 1.4651,                 1.2303,                 1.5959,                0.63179,                0.62657,                0.65423,                0.32765,                 1.6484,                 1.3866,                 1.8349,               0.007228,               0.007228,               0.007228
                     86,                 1.4596,                 1.2364,                 1.5804,                 0.5747,                0.63953,                0.65755,                0.32307,                 1.6876,                 1.4555,                 1.9093,               0.007195,               0.007195,               0.007195
                     87,                 1.4737,                 1.2428,                 1.6019,                0.66584,                0.64242,                0.67962,                 0.3499,                 1.6025,                 1.3413,                 1.8155,               0.007162,               0.007162,               0.007162
                     88,                 1.4616,                 1.2298,                 1.5794,                0.60864,                0.62369,                0.65996,                0.33818,                 1.6604,                 1.3667,                 1.8781,               0.007129,               0.007129,               0.007129
                     89,                 1.4475,                 1.2112,                 1.5817,                0.60408,                0.50976,                0.53844,                0.26146,                 1.8189,                 1.5914,                 2.0048,               0.007096,               0.007096,               0.007096
                     90,                 1.4244,                 1.2046,                 1.5653,                0.58598,                0.64381,                 0.6463,                 0.3349,                  1.675,                  1.409,                  1.872,               0.007063,               0.007063,               0.007063
                     91,                 1.4328,                 1.2091,                  1.567,                0.59842,                0.60683,                0.64203,                0.33216,                 1.6743,                 1.4272,                 1.8697,                0.00703,                0.00703,                0.00703
                     92,                 1.4548,                 1.2123,                 1.5719,                0.61101,                0.59749,                0.70742,                0.36452,                 1.6112,                 1.3067,                 1.8182,               0.006997,               0.006997,               0.006997
                     93,                 1.4632,                 1.2249,                  1.582,                0.60382,                0.64299,                0.66118,                 0.3344,                  1.633,                 1.3676,                 1.8236,               0.006964,               0.006964,               0.006964
                     94,                 1.4508,                 1.2112,                 1.5773,                0.53122,                0.64546,                0.64059,                0.33046,                 1.6701,                 1.4062,                 1.8399,               0.006931,               0.006931,               0.006931
                     95,                 1.4319,                 1.1966,                 1.5651,                0.63861,                0.58525,                0.64809,                0.33588,                 1.6612,                  1.353,                  1.873,               0.006898,               0.006898,               0.006898
                     96,                 1.4373,                 1.2166,                 1.5626,                0.67563,                0.63495,                0.69576,                0.36957,                 1.5964,                 1.3008,                  1.805,               0.006865,               0.006865,               0.006865
                     97,                 1.4481,                 1.2181,                 1.5768,                0.65543,                0.60814,                0.66621,                0.35829,                 1.6228,                 1.3717,                 1.8219,               0.006832,               0.006832,               0.006832
                     98,                 1.4326,                 1.2154,                 1.5646,                0.66255,                0.55076,                0.64271,                0.33157,                 1.6872,                  1.355,                 1.8541,               0.006799,               0.006799,               0.006799
                     99,                 1.4326,                 1.2001,                 1.5523,                0.61669,                0.63486,                0.64984,                0.33861,                 1.6362,                 1.3337,                 1.8271,               0.006766,               0.006766,               0.006766
                    100,                 1.4354,                 1.1998,                 1.5562,                0.65797,                0.64448,                0.70076,                0.36717,                 1.5976,                 1.2932,                 1.8085,               0.006733,               0.006733,               0.006733
                    101,                 1.4297,                 1.1932,                 1.5522,                0.61481,                0.62055,                0.65497,                0.33519,                 1.6559,                 1.4118,                 1.8712,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.4125,                 1.1824,                 1.5489,                0.63659,                0.64544,                 0.6785,                0.35034,                 1.6202,                 1.3335,                 1.8182,               0.006667,               0.006667,               0.006667
                    103,                 1.3984,                 1.1595,                 1.5468,                0.63884,                0.64812,                0.68531,                0.35759,                 1.6232,                 1.3466,                 1.8319,               0.006634,               0.006634,               0.006634
                    104,                 1.4369,                 1.1942,                 1.5606,                0.66298,                0.57649,                0.66485,                0.36718,                 1.6182,                 1.3699,                 1.8309,               0.006601,               0.006601,               0.006601
                    105,                 1.4438,                 1.1874,                 1.5582,                0.58391,                0.62807,                0.65732,                0.33884,                 1.6639,                 1.3681,                 1.8688,               0.006568,               0.006568,               0.006568
                    106,                 1.4238,                 1.1894,                 1.5666,                0.65022,                0.61941,                0.66933,                0.34564,                 1.6417,                 1.3442,                 1.8392,               0.006535,               0.006535,               0.006535
