                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    127,                  1.419,                 1.2038,                 1.5302,                0.70539,                0.68282,                0.72196,                 0.3868,                 1.5559,                 1.3043,                 1.7242,               0.005842,               0.005842,               0.005842
                    128,                 1.4113,                 1.1957,                 1.5078,                0.69978,                0.60586,                0.69885,                0.36831,                 1.5992,                 1.3027,                 1.7298,               0.005809,               0.005809,               0.005809
                    129,                 1.4174,                  1.177,                 1.5198,                0.71145,                 0.6647,                0.74853,                0.40753,                 1.5306,                 1.2454,                 1.6961,               0.005776,               0.005776,               0.005776
                    130,                 1.3946,                 1.1653,                 1.5118,                0.67736,                0.66999,                0.73216,                0.38668,                 1.5732,                 1.2572,                  1.722,               0.005743,               0.005743,               0.005743
                    131,                 1.4024,                 1.1842,                 1.5175,                0.63023,                0.67436,                0.72297,                0.39228,                 1.5461,                 1.2655,                 1.7308,                0.00571,                0.00571,                0.00571
                    132,                 1.3802,                 1.1701,                 1.5059,                0.68883,                0.66883,                0.73203,                0.39611,                 1.5449,                  1.245,                 1.7021,               0.005677,               0.005677,               0.005677
                    133,                 1.3984,                 1.1749,                 1.5156,                0.70493,                0.66895,                0.72356,                0.38979,                 1.5682,                 1.2863,                 1.7205,               0.005644,               0.005644,               0.005644
                    134,                 1.3785,                  1.167,                 1.5092,                0.65943,                 0.5731,                 0.6457,                 0.3249,                 1.7441,                 1.4641,                  1.837,               0.005611,               0.005611,               0.005611
                    135,                 1.4184,                 1.1979,                 1.5287,                0.63325,                0.68317,                0.72528,                0.38712,                 1.5348,                 1.2928,                 1.7033,               0.005578,               0.005578,               0.005578
                    136,                 1.3991,                   1.18,                 1.5162,                0.67726,                0.62616,                0.69841,                0.36853,                 1.5799,                 1.3369,                  1.733,               0.005545,               0.005545,               0.005545
